Course Dept,Course Number,Course Name,Course Desc
AFNS,575,"Advanced Functional Genomics Technologies in Agricultural, Food and Nutritional Science","Modular course offering training in a variety of research technologies. Modules offered will vary from term to term. Modules may include HPLC, gel electrophoresis, real-time PCR, gene isolation and cloning, gene amplification, cDNA library screening and microarray. Prerequisite: Consent of Instructor."
AFNS,576,Applied Swine Science,"Evaluation of swine breeding, feeding, housing management, and disease prevention practices that optimize production efficiency and animal well-being. Laboratories involve analysis of production practices with a view to optimizing efficiency. Not to be taken if credit received for AN SC 476. Prerequisite: consent of instructor."
AFNS,577,Advanced Community Nutrition,"Examination of nutrition problems in contemporary communities that relate to health promotion, food security, policy, program planning and community nutrition throughout the life cycle. Discussion of nutrition programs and resources. Students will develop the skills to write a community grant application. Not to be taken if credit received for NUTR 477. Prerequisite: consent of instructor."
AFNS,578,Advanced Clinical Nutrition,"The principles of diet therapy in selected areas of current interest. Emphasis on case studies, research and practical problems in clinical dietetics. Not to be taken if credit received for NUTR 476. Prerequisite: consent of instructor."
AFNS,579,Advanced Nutrition: Vitamins and Inorganic Elements,"A lecture and reading course in vitamins and inorganic elements. Introduction to seminar presentation and critical evaluation of current literature. Students will also learn the skill of writing a scientific paper. Lectures are the same as for NUTR 479, with additional assignments and evaluation appropriate to graduate studies. Credit will only be given for one of AFNS 579, NUTR 479, and NU FS 479. Prerequisite: NUTR 302. NUTR 301 (or 303) recommended."
AFNS,580,Advanced Study of Microbial Food Safety,Emerging issues in microbiological safety of foods. Reading and class presentations on current developments in the microbiological safety of foods. Not to be taken if credit received for NU FS 480. Prerequisite: MICRB 265 or consent of instructor.
AFNS,581,Advanced Foods,Critical evaluation of current literature on the effects of ingredients and processing on quality characteristics of foods. Not to be taken if credit received for NU FS 481. Prerequisites: NU FS 374 and *3 BIOCH or consent of instructor.
AFNS,582,Diseases of Field and Horticultural Crops,"Diseases of cereal, oilseed, pulse, forage, vegetable, fruit, and ornamental crops. Normally offered in alternate years. Not to be taken if credit received for PL SC 481. Prerequisite: PL SC 380 or consent of instructor."
AFNS,585,Advanced Quantitative Genomics,"Genetics and analysis of quantitative traits in farm animals and plants. Detecting, locating and measuring effects of quantitative trait loci (QTL). Recent developments in QTL mapping and discovery. The laboratory sessions include commonly used software for analyzing data from breeding and genomics experiments. Normally offered in alternate years. Prerequisite: consent of instructor."
AFNS,595,Integrated Crop Protection,"Integrated agronomic, mechanical, biological, and chemical control of insects, disease organisms, and weeds that interfere with field crop and horticultural crop production. Not to be taken if credit received for PL SC 495. Prerequisites: ENT 222, PL SC 352, and PL SC 380; one course may be taken as a corequisite, or consent of the instructor."
AFNS,598,Integrative Project in Food Safety and Quality,A team-based capstone course exploring broad areas of food safety and quality. Students will work in groups with mentors on a project involving experiential learning and skill development related to the field. Restricted to students in the MSc Food Safety and Quality that have completed *20 of the program requirements. Prerequisite: consent of instructor.
AFNS,599,Advanced Agri,"Advanced analysis of food and agri-industrial materials with a focus on good laboratory practices (GLP), chromatographic techniques (HPLC, GC), mass spectrometry, and other modern techniques from sample preparation to analysis of data. Not to be taken if credit received for NU FS 499. Prerequisite: NU FS 372 or consent of instructor."
AFNS,601,Seminar,"Covers specialized topics of current interest to graduate students in AFNS. Presentations by students, faculty and invited speakers. Students register in one of four sections - Animal Science, Plant Science, Food Science or Human Nutrition. Attendance is required of all graduate students throughout their program. MSc students normally register for one term in year 2, and are required to present one seminar; PhD students normally register for one term in each of year 1 and 3, and are required to present one seminar per term."
AFNS,602,Graduate Reading Project,Individual study. Critical reviews of selected literature under the direction of a Faculty member. Note: May be taken more than once if the topic is different. Prerequisite: consent of Department.
AFNS,603,Graduate Research Project,Directed laboratory study under supervision of a Faculty member. Note: May be taken more than once if the topic is different. Prerequisite: consent of Department.
AFNS,660,Communication in Science,"Course designed for graduate students in the early stages of their graduate program. Students will learn effective communication skills for life as a graduate student and a future scientist. Topics will include the scientific method; paper, thesis and grant writing; poster and lecture development and delivery; ethics in science; graduate student supervisor relationships. Preference given to those in the first year of their program. Prerequisite: consent of instructor."
AFNS,670,Current Topics in Nutrition and Metabolism,"Selected topics in digestive physiology, fat/carbohydrate/protein metabolism, vitamins/minerals, dietary modulation of function or ruminant nutrition. May be taken for credit more than once."
AFNS,675,Introduction to Research Methods in Nutritional Science,"To develop skills in critical review of the literature, formulation of research questions and hypotheses, and the execution and presentation of research in the nutrition and metabolism fields. Lectures include concepts in experimental design, logistics of data collection and basic statistical analysis. The seminar includes practical application of these tools and completion of a critical review to compliment student's research program. Normally taken by students in the MSc and PhD in Nutrition and Metabolism during the first year of their graduate studies program."
AFNS,900,Directed Research Project (Course,"Individual study supervised by the student's supervisor, requiring the preparation of a comprehensive report, presentation of a seminar and oral examination by the student's supervisor and one additional faculty member."
ALES,204,Communication Fundamentals for Professionals,"Successful professionals require strong communication skills. This course focuses on interpersonal communication in professional settings, examining factors that enhance or impede communication and exploring strategies for communicating more effectively with different audiences. Students develop written, visual, and oral communication skills that help them connect with others both in and outside the organization, and convey information in positive and persuasive ways. [Human Ecology]"
ALES,291,"Topics in Agricultural, Life and Environmental Sciences",Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.
ALES,291A,"Topics in Agricultural, Life and Environmental Sciences",Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.
ALES,291B,"Topics in Agricultural, Life and Environmental Sciences",Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.
ALES,391,"Topics in Agricultural, Life and Environmental Sciences",Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.
ALES,391A,"Topics in Agricultural, Life and Environmental Sciences",Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.
ALES,391B,"Topics in Agricultural, Life and Environmental Sciences",Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.
ALES,491,"Topics in Agricultural, Life and Environmental Sciences",Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.
ALES,491A,"Topics in Agricultural, Life and Environmental Sciences",Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.
ALES,491B,"Topics in Agricultural, Life and Environmental Sciences",Offered by various departments depending upon the content of the course in a given year. Sections may require payment of additional student instructional support fees. Refer to the Tuition and Fees page in the University Regulations section of the Calendar.
ANSC,100,Introduction to Animal Health Science,"An orientation to current issues and challenges related to animal health and disease in a global context. An interdisciplinary overview of the role and importance of animal health in modern society and its relationship to agriculture, food safety and human health. Causes of disease and the principles of maintaining healthy animals. The history and development of animal health professions and their roles. Not to be taken if credit received for AN SC 375. Prerequisite: Biology 30."
ANSC,101,Principles of Animal Agriculture,"Principles and practices of modern animal production and management. Brief introduction to the structure of the livestock, poultry, and game ranching industries. Principles of animal management, breeding and feeding. Current issues in animal agriculture. Students gain direct experience with animals in production/research environments. Not to be taken if credit received for AN SC 200. Prerequisite: Biology 30."
ANSC,120,Companion Animals and Society,"Diverse and evolving roles of companion animals in human society. Pets and the companion animal industry. Topics include: behavior, cognition and training; breeds and breeding; performance; nutrition, health and physiology. Prerequisite: Biology 30."
ANSC,260,Fundamentals of Animal Nutrition,"Function, metabolism, homeostasis, requirements and sources of nutrients and energy for animals. Laboratory will involve principles of diet formulation. Prerequisite: *3 BIOL or *3 CHEM."
ANSC,310,Physiology of Domestic Animals,"Fundamental principles of regulation and maintenance of the internal environment. Includes a review of mechanisms providing for homeorrhesis and well-being of domestic animals in response to changes in the external environment (e.g., light, temperature, social). Prerequisites: BIOL 107 and *6 in university-level chemistry."
ANSC,311,Metabolic Physiology of Domestic Animals,"The physiological basis of the metabolic processes in domestic animals. Includes a review of the physiological mechanisms and neuroendocrine regulation of digestion, metabolism, growth and lactation. Prerequisite: AN SC 310."
ANSC,312,Reproductive Physiology of Domestic Animals,"The physiological basis of reproduction, fertility and embryonic development in domestic animals in relation to animal productivity. The study of the physiological mechanisms regulating gonadal function, fertilization, implantation, pregnancy and parturition as well as the physiological basis for sound reproductive management. Prerequisite: AN SC 310."
ANSC,318,Influence of Microorganisms on Animal Biology,Fundamentals of interactions between microorganisms and animals and how these interactions integrate with animal production and improvement of animal health. Emphasis on the evolution and ecology of the microbial inhabitants with the host and the underlying molecular mechanisms of the host microbial interactions. Pre- or corequisite: MICRB 265 or BIOL 207.
ANSC,320,Livestock Growth and Meat Production,"Concepts of growth and development applied to meat production from farm livestock. Form and function of bone, muscle and fat. Livestock and carcass appraisal. Prerequisite: AN SC 101 or 200 or *3 BIOL."
ANSC,325,Equine Science,"An in-depth study of equine anatomy, physiology, husbandry and diseases, both infectious and non-infectious. Equine nutrition, behaviour and the horse industry will also be examined. Not to be taken if credit received for AN SC 110. Prerequisite: BIOL 107 and BIOL 108."
ANSC,375,Animal Health and Disease,"Principles of maintaining healthy animals, and an examination of current issues related to animal health and disease. Infectious and non-infectious diseases that affect both animal and human health and may impact international trade and export. Principles and mechanisms of immunity, disease surveillance, pathophysiology, treatment, prevention, management and economic impact of specific diseases and risks of bioterrorism. Prerequisite: AN SC 100 and (AN SC 101 or 200) or consent of instructor. AN SC 310 or PHYSL 210 or (ZOOL 241 and 242) are recommended."
ANSC,376,Animal Welfare,An overview of animal welfare as it relates to both food and companion animals. Discussion of the scientific and ethical components that underlie our evaluation of the quality of life that animals experience. Prerequisite: (AN SC 101 or 200) or (*3 biology and consent of instructor) and *60.
ANSC,377,Food Animal Behaviour,Basic behaviour principles for food animal species including their application in livestock production systems. Fundamentals of experimental research and design in applied ethology. Prerequisite: AN SC 101 or 200 or consent of instructor and *60
ANSC,378,Companion Animal Behaviour,"Basic behaviour principles for companion animal species such as dogs, cats, and horses, including application of fundamental training and learning techniques to resolve common behaviour problems. Prerequisite: AN SC 100, PSYCO 104 and *60."
ANSC,384,Principles of Animal Genetics,"An introduction to the basic principles of animal genetics and their practical application in selection strategies, breeding systems, and methods of improvement for domestic animals. Prerequisites: BIOL 207 and AN SC 101 or consent of instructor."
ANSC,400,Individual Study,"Project or reading course supervised by a Faculty member, requiring preparation of a comprehensive report. Prerequisites: Third year standing or higher and consent of Department. Note: May be taken more than once if topic is different."
ANSC,410,Regulation of Reproduction in Domestic Animals,Study of basic physiological mechanisms involved in the control of reproduction in domesticated animals as a basis for developing practical approaches for the regulation of reproductive processes. Prerequisite: AN SC 312 or consent of Instructor.
ANSC,411,Veterinary Immunology,"Application of immunological principles to the understanding of animal health and disease with a focus on livestock and companion animals. Students will apply a broad understanding of host-pathogen interactions and the basic mechanisms of disease progression to assess the short and long-term impact of pathogenesis to the health of animals, their caretakers, and consumers. Lectures will be followed by active discussion of selected readings. Prerequisite: IMIN 200 or AN SC 375."
ANSC,420,Meat Science,"The conversion of muscle to meat in livestock and poultry: definitions and measurement of carcass and meat quality; influences of pre- and post-slaughter factors on carcass and meat quality. The lab will consist of a two day field trip during Reading Week. Prerequisite: *3 BIOCH, AN SC 320, or consent of instructor."
ANSC,461,"Ruminant Digestion, Metabolism, and Nutrition","Integration of theory and practical concepts in ruminant nutrition, digestion and metabolism through topics such as energy flow in ruminants, protein systems and net feed efficiency. Laboratories will involve formulation of rations for various physiological states of beef and dairy cattle, economical rations, feed mixes, protein systems (degradable and undegradable protein systems) and net feed efficiency formulations. Prerequisite: AN SC 260 or *3 NUTR."
ANSC,462,Monogastric Nutrition,"Nutrient utilization and requirements, feed ingredients and applied feeding programs for poultry and swine. Feed formulation strategies and current topics in poultry and swine nutrition will be discussed in detail. Not to be taken if credit received for AN SC 463. Prerequisite: AN SC 260, *3 NUTR, or NU FS 305. Corequisite: AN SC 311 or *6 PHYSL."
ANSC,464,Companion Animal Nutrition,"Aimed at fourth year undergraduate students with an interest in companion animal nutrition. The course will focus on nutrient utilization and requirements of dogs, cats, and horses. Other companion animal species (mammals, birds, reptiles, fish, amphibians, etc.) will also be covered. Current issues in pet food nutrition and manufacture will be discussed. Prerequisite: AN SC 260, *3NUTR or NU FS 305."
ANSC,471,Applied Poultry Science,"Study of avian anatomy, physiology, behavior, and health as it relates to modern poultry production. Current management practices to optimize production efficiency and animal well-being are examined. Prerequisites: (AN SC 101 or 200), AN SC 260 and  AN SC 310."
ANSC,472,Applied Dairy Production Science,"Examination of the structure of the dairy industry, evaluation of management practices to optimize production efficiency and animal well-being, and integration of nutritional, physiological, and biochemical processes involved in production of quality milk. Laboratories emphasize practical applications, field trips, and discussion. Prerequisite: (AN SC 101 or 200), AN SC 260 and 310, or consent of instructor."
ANSC,474,Applied Beef Cattle Science,"Examination of current and potential future production and management practices to optimize production efficiency and animal well-being in the Canadian and international beef industry. Laboratories emphasize practical applications, field trips, and discussion. Prerequisites: (AN SC 101 or 200), AN SC 260 and AN SC 310."
ANSC,476,Applied Swine Science,"Evaluation of swine breeding, feeding, housing management, and disease prevention practices that optimize production efficiency and animal well-being. Laboratories involve analysis of production practices with a view to optimizing efficiency. Prerequisites: (AN SC 101 or 200), AN SC 260 and AN SC 310."
ANSC,479,Integrative Project in Animal Science,A team-based capstone course exploring broad areas of animal agriculture. Students will work in groups with mentors on a project involving experiential learning and skill development related to the field.
ANSC,485,Animal Genetics and Breeding,Application of genetic/genomic principles and methods to the improvement of livestock and poultry. Prerequisite: AN SC 384 or consent of instructor.
ANSC,496,Research on the Human Animal Bond,Exploration of research methods and measures; critical appraisal of research on the human-animal bond; application of research findings to the improvement of human and animal welfare. Students will conduct library and empirical research in the laboratory component. Prerequisites: AN SC 378 or (*90 and consent of instructor).
ANSC,499,Integrative Project in Animal Health Science,A team-based capstone course exploring broad areas of animal health. Students will work in groups with mentors on a project involving experiential learning and skill development related to the field.
AREC,173,"The Plate, the Planet and Society","A cornerstone course that provides an introduction to social perspectives on everything from what we eat for breakfast to how we protect endangered species and agricultural landscapes. Topics covered include current issues around food production and consumption and issues related to sustainability of our natural and social systems. Debates over new technologies (e.g., GMOs, nanotechnology), food, environment, and health can only be understood in the context of political, economic and personal decisions."
AREC,200,Current Economic Issues for Agriculture and Food,"Applications of economic principles to problems and current issues relating to agriculture, food and the environment. Prerequisite: ECON 101 or consent of Department."
AREC,214,"Applications of Linear Models to Food, Resources and the Environment","An introduction to methods and tools that are used to solve linear quantitative problems. Emphasis is on the use of these techniques for economic analysis in applications related to agriculture, food, forestry, and the environment. Classroom examples, laboratory assignments and computer tutorials are provided to give practice in applying quantitative tools to empirical problems. Prerequisite: Mathematics 30-1."
AREC,250,Social and Economic Issues of Food Biotechnology,"This course will provide an introduction to the economics and business concepts in the biotechnology industry with an emphasis on food produced using genetic modification and other food technologies. The basic science behind GM foods will be discussed, but most of the material will focus on the social, economic, environmental, and legal issues surrounding GM foods. Key questions will be addressed using peer-reviewed literature and case studies, and the material will be presented from various disciplinary viewpoints."
AREC,313,Statistical Analysis,"Analysis of economic data relating to renewable resource sectors including agriculture, food, forestry, and the environment; collection of data, sampling methods, tests of hypotheses, index numbers, analysis of variance, regression, and correlation; time series analysis. Prerequisite: Introductory statistics course."
AREC,323,Introduction to Management for Agri,"Principles and practical aspects of business management, and their relevance to the managing businesses involved in a variety of industries, including agriculture, environment, food, and forestry. Topics include business planning and organizing, and issues related to the management of financial, physical, and human resources. Prerequisite: ECON 101."
AREC,333,Economics of Production and Resource Management,"Application of economic concepts and introduction of management tools related to production decision-making for resource-based businesses. Integration of biophysical and environmental relationships with economic objectives in allocating resources. Introduction to quantitative tools used in applied production management decision-making. Prerequisite: AREC 200, AREC 365, or ECON 281."
AREC,365,Natural Resource Economics,"Economics of natural resources; resource scarcity, conservation, sustainability, water resource issues, fisheries, forestry, agriculture, recycling, property and tenure institutions, and public resource policy. Not to be taken if credit received for ECON 365. Prerequisite: ECON 101."
AREC,375,World Food and Agriculture,"Economic issues in international agriculture including the world food problem, agricultural development; agricultural and food trade and policy and selected agricultural biotechnology issues. Selected international applications and issues are stressed. Not to be taken if credit received for INT D 303. Prerequisite: ECON 101."
AREC,382,"Food Systems, Distribution and Supply Chains","Introduction to concepts in logistics, supply chain management and issues in food systems, distribution and farm-to-plate supply chains. Topics include product differentiation and competition in food retailing, local food innovation and food start-ups, food logistics and online marketing systems, Alberta food landscape and policy. Prerequisite: ECON 101."
AREC,384,Food Market Analysis,"Applications of price and market theories to marketing problems and issues for food and agricultural products. Topics include: market structures and marketing functions; price analysis; futures markets; economics of food safety and quality; and international food marketing. Prerequisite: AREC 200, AREC 365, or ECON 281."
AREC,400,Special Topics,"Individual study of a selected topic or problem supervised by a Faculty member, requiring preparation of written reports. Prerequisite: consent of the Department Chair."
